0,"{4965633, 8683175}"
1,{3206650}
2,"{8868540, 6657197}"
3,{3164970}
4,{9423732}
5,"{8880211, 6788507}"
6,{4693237}
7,{8963303}
8,"{8993792, 2867530, 4341412, 4987878}"
9,{6717360}
10,{6793468}
11,{3193619}
12,{3186313}
13,"{8593216, 4692871, 3166820, 6837047}"
14,{3170211}
15,"{8648846, 8699414}"
16,{6848974}
17,{6849770}
18,{4089393}
19,{9451664}
20,"{8999401, 8437741}"
21,{8898507}
22,{3279216}
23,{4981582}
24,{3183581}
25,"{9438853, 4990166}"
26,{6244581}
27,{6763363}
28,{9298446}
29,{6793468}
30,{8846146}
31,"{8942801, 2436302, 6831927}"
32,{3180342}
33,"{5805795, 5838228, 4704411}"
34,{4361789}
35,"{8993792, 2867530, 4341412, 4987878}"
36,{8648846}
37,"{8868459, 3149957}"
38,{9298446}
39,{2439865}
40,{3229584}
41,{6793468}
42,{6847150}
43,{3180342}
44,{4441356}
45,{9087693}
46,{6878659}
47,{6755117}
48,{3218943}
49,{8771275}
50,"{8972730, 8427227, 8473431}"
51,"{8455460, 8744462}"
52,{3289630}
53,"{6791202, 8971835}"
54,"{8868540, 6657197}"
55,"{6818065, 8811717, 3176246}"
56,"{6854100, 3170436}"
57,{6690974}
58,"{4438403, 4860868, 5213228, 9138135, 8884601, 8503357}"
59,{5001346}
60,"{3171337, 8510530, 6673337, 3203165, 9027307}"
61,{6727320}
62,{6727320}
63,"{4372131, 9428028, 8485575}"
64,{9446050}
65,"{3203026, 4988323, 6800349, 4854447}"
66,{8949326}
67,"{5127202, 6197790, 8683943}"
68,"{4453136, 4922775, 6181610, 8765368, 8535943}"
69,{6691507}
70,{2464013}
71,{4693237}
72,{8534275}
73,{8448312}
74,"{6721267, 8736364}"
75,{8771275}
76,"{6818065, 3176246}"
77,"{8592699, 6672445}"
78,"{3172009, 6805141}"
79,"{5214688, 6120577, 4696359, 6108776, 8928862, 2441898, 8601515, 8608717, 5810062, 6183951, 5844400, 8606037, 8733365, 5809980, 5814078, 6144191}"
80,{2449598}
81,"{6154538, 8691846}"
82,{9226586}
83,{2464013}
84,{6717705}
85,"{4994321, 5812475, 8784363}"
86,"{8648846, 8699414}"
87,{4441356}
88,{8625569}
89,"{3270669, 9413822}"
90,{3145608}
91,{8527753}
92,"{8972730, 8427227, 8473431}"
93,{4416811}
94,"{9027810, 6653685}"
95,{9430845}
96,"{8643129, 6167269}"
97,{5067427}
98,{3206650}
99,{3897026}
100,{3203888}
101,"{8940843, 2440875}"
102,{3183581}
103,{3226784}
104,{9226586}
105,{3219056}
106,"{4362019, 8780227}"
107,{6827082}
108,{6790764}
109,{3218943}
110,"{8774297, 3211357, 8943685}"
111,{3217195}
112,"{6748064, 9416478}"
113,{9415989}
114,{5067427}
115,{6681651}
116,"{8880211, 6788507}"
117,{6687957}
118,{6823691}
119,"{3249834, 6756540}"
120,"{5214688, 6120577, 4696359, 6108776, 8928862, 2441898, 8601515, 8608717, 5810062, 6183951, 5844400, 8606037, 8733365, 5809980, 5814078, 6144191}"
121,{4981582}
122,{6691507}
123,"{8999401, 8437741}"
124,{3230878}
125,"{3173707, 8932975}"
126,{6643455}
127,{6711828}
128,{6815004}
129,{3213591}
130,"{4695032, 6144746}"
131,"{3166820, 6837047}"
132,{3186313}
133,{3159655}
134,"{8455460, 8744462}"
135,"{6721267, 8736364}"
136,{6815004}
137,"{6772962, 8877946}"
138,"{9461784, 8470921, 4361330, 4842116, 8528390}"
139,{8621966}
140,{9446050}
141,"{8940843, 2440875}"
142,{4455540}
143,"{4618505, 4991985, 4337431}"
144,{6833543}
145,{6833543}
146,"{6851896, 2438570}"
147,"{4965633, 8683175}"
148,{6734679}
149,{8719283}
150,"{8954323, 2438135}"
151,{6827082}
152,{6849770}
153,{3271730}
154,{3196616}
155,{8848414}
156,"{3193056, 2485430}"
157,{6800349}
158,{5006104}
159,{8958581}
160,"{8648846, 8699414}"
161,{4692800}
162,"{6786209, 8986863}"
163,{8625569}
164,"{4852194, 9447259}"
165,"{8859500, 8980030}"
166,{3184086}
167,"{4991985, 4618505, 4337431}"
168,{3151595}
169,{4417176}
170,{8526331}
171,{3170956}
172,"{5096961, 9089262}"
173,"{8793448, 8688126}"
174,{8294286}
